Movie_Title,Budgets
"<a href=""/movie/Angels-and-Demons#tab=summary"">Angels &amp; Demons</a>","$150,000,000"
"<a href=""/movie/Troy#tab=summary"">Troy</a>","$150,000,000"
"<a href=""/movie/Last-Airbender-The#tab=summary"">The Last Airbender</a>","$150,000,000"
"<a href=""/movie/Bee-Movie#tab=summary"">Bee Movie</a>","$150,000,000"
"<a href=""/movie/G-Force#tab=summary"">G-Force</a>","$150,000,000"
"<a href=""/movie/Bolt#tab=summary"">Bolt</a>","$150,000,000"
"<a href=""/movie/Wrath-of-the-Titans#tab=summary"">Wrath of the Titans</a>","$150,000,000"
"<a href=""/movie/Beowulf#tab=summary"">Beowulf</a>","$150,000,000"
"<a href=""/movie/Dark-Shadows#tab=summary"">Dark Shadows</a>","$150,000,000"
"<a href=""/movie/White-House-Down#tab=summary"">White House Down</a>","$150,000,000"
"<a href=""/movie/Wolf-Man-The#tab=summary"">The Wolfman</a>","$150,000,000"
"<a href=""/movie/Great-Wall-The#tab=summary"">The Great Wall</a>","$150,000,000"
"<a href=""/movie/Pan-(2015)#tab=summary"">Pan</a>","$150,000,000"
"<a href=""/movie/Mars-Needs-Moms#tab=summary"">Mars Needs Moms</a>","$150,000,000"
"<a href=""/movie/Moonfall#tab=summary"">Moonfall</a>","$150,000,000"
"<a href=""/movie/Flushed-Away#tab=summary"">Flushed Away</a>","$149,000,000"
"<a href=""/movie/Madagascar-3#tab=summary"">Madagascar 3: Europe's Most Wanted</a>","$145,000,000"
"<a href=""/movie/Mission-Impossible-Ghost-Protocol#tab=summary"">Mission: ImpossibleâGhost Protocol</a>","$145,000,000"
"<a href=""/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary"">How to Train Your Dragon 2</a>","$145,000,000"
"<a href=""/movie/Tarzan#tab=summary"">Tarzan</a>","$145,000,000"
"<a href=""/movie/Mr-Peabody-and-Sherman#tab=summary"">Mr. Peabody &amp; Sherman</a>","$145,000,000"
"<a href=""/movie/Rise-of-the-Guardians#tab=summary"">Rise of the Guardians</a>","$145,000,000"
"<a href=""/movie/Sahara#tab=summary"">Sahara</a>","$145,000,000"
"<a href=""/movie/Ghostbusters-(2016)#tab=summary"">Ghostbusters</a>","$144,000,000"
"<a href=""/movie/Die-Another-Day#tab=summary"">Die Another Day</a>","$142,000,000"
"<a href=""/movie/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl#tab=summary"">Pirates of the Caribbean: The Curse of the Blac…</a>","$140,000,000"
